alpha,t,c_out,mu,nu,xi,Q,p_end,k_alpha,s,f_A,f_B
0.62,1.1685797418619632,90.0,0.0,0.0,0.0,inf,0.7,0.828,0.7,8.0,2.0
0.621,1.1717621665455444,90.0,0.0,0.0,0.0,inf,0.7,0.828,0.7,8.0,2.0
0.622,1.1749529992301322,89.99999999999999,0.0,0.0,0.0,inf,0.7,0.828,0.7,8.0,2.0
0.623,1.178152284461505,90.0,0.0,0.0,0.0,inf,0.7,0.828,0.7,8.0,2.0
0.624,1.1813600671403897,90.0,0.0,0.0,0.0,inf,0.7,0.828,0.7,8.0,2.0
0.625,1.1845763925262394,90.0,0.0,0.0,0.0,inf,0.7,0.828,0.7,8.0,2.0
0.626,1.187801306241069,90.0,0.0,0.0,0.0,inf,0.7,0.828,0.7,8.0,2.0
0.627,1.1910348542733353,90.0,0.0,0.0,0.0,inf,0.7,0.828,0.7,8.0,2.0
0.628,1.1942770829818727,90.0,0.0,0.0,0.0,inf,0.7,0.828,0.7,8.0,2.0
0.629,1.1975280390998817,90.0,0.0,0.0,0.0,inf,0.7,0.828,0.7,8.0,2.0
0.63,1.2007877697389697,90.0,0.0,0.0,0.0,inf,0.7,0.828,0.7,8.0,2.0
0.631,1.2040563223932488,89.99999999999999,0.0,0.0,0.0,inf,0.7,0.828,0.7,8.0,2.0
0.632,1.2073337449434858,90.0,0.0,0.0,0.0,inf,0.7,0.828,0.7,8.0,2.0
0.633,1.2106200856613127,90.0,0.0,0.0,0.0,inf,0.7,0.828,0.7,8.0,2.0
0.634,1.2139153932134912,89.99999999999999,0.0,0.0,0.0,inf,0.7,0.828,0.7,8.0,2.0
0.635,1.2172197166662386,90.0,0.0,0.0,0.0,inf,0.7,0.828,0.7,8.0,2.0
0.636,1.2205331054896094,90.0,0.0,0.0,0.0,inf,0.7,0.828,0.7,8.0,2.0
0.637,1.2238556095619402,90.0,0.0,0.0,0.0,inf,0.7,0.828,0.7,8.0,2.0
0.638,1.2271872791743552,90.0,0.0,0.0,0.0,inf,0.7,0.828,0.7,8.0,2.0
0.639,1.2305281650353335,90.0,0.0,0.0,0.0,inf,0.7,0.828,0.7,8.0,2.0
0.64,1.23387831827534,89.99999999999999,0.0,0.0,0.0,inf,0.7,0.828,0.7,8.0,2.0
0.641,1.2372377904515197,90.0,0.0,0.0,0.0,inf,0.7,0.828,0.7,8.0,2.0
0.642,1.24060663355246,90.0,0.0,0.0,0.0,inf,0.7,0.828,0.7,8.0,2.0
0.643,1.243984900003017,90.0,0.0,0.0,0.0,inf,0.7,0.828,0.7,8.0,2.0
0.644,1.2473726426692109,90.0,0.0,0.0,0.0,inf,0.7,0.828,0.7,8.0,2.0
0.645,1.2507699148631901,89.99999999999999,0.0,0.0,0.0,inf,0.7,0.828,0.7,8.0,2.0
0.646,1.254176770348264,89.99999999999999,0.0,0.0,0.0,inf,0.7,0.828,0.7,8.0,2.0
0.647,1.2575932633440101,89.99999999999999,0.0,0.0,0.0,inf,0.7,0.828,0.7,8.0,2.0
0.648,1.2610194485314494,90.0,0.0,0.0,0.0,inf,0.7,0.828,0.7,8.0,2.0
0.649,1.2644553810582988,89.99999999999999,0.0,0.0,0.0,inf,0.7,0.828,0.7,8.0,2.0
0.65,1.267901116544297,90.0,0.0,0.0,0.0,inf,0.7,0.828,0.7,8.0,2.0
0.651,1.2713567110866064,90.0,0.0,0.0,0.0,inf,0.7,0.828,0.7,8.0,2.0
0.652,1.2748222212652933,89.99999999999999,0.0,0.0,0.0,inf,0.7,0.828,0.7,8.0,2.0
0.653,1.2782977041488865,90.0,0.0,0.0,0.0,inf,0.7,0.828,0.7,8.0,2.0
0.654,1.2817832173000154,90.0,0.0,0.0,0.0,inf,0.7,0.828,0.7,8.0,2.0
0.655,1.2852788187811321,90.0,0.0,0.0,0.0,inf,0.7,0.828,0.7,8.0,2.0
0.656,1.2887845671603124,90.0,0.0,0.0,0.0,inf,0.7,0.828,0.7,8.0,2.0
0.657,1.2923005215171464,90.0,0.0,0.0,0.0,inf,0.7,0.828,0.7,8.0,2.0
0.658,1.2958267414487104,90.0,0.0,0.0,0.0,inf,0.7,0.828,0.7,8.0,2.0
0.659,1.2993632870756284,90.0,0.0,0.0,0.0,inf,0.7,0.828,0.7,8.0,2.0
0.66,1.3029102190482247,90.0,0.0,0.0,0.0,inf,0.7,0.828,0.7,8.0,2.0
0.661,1.306467598552762,90.0,0.0,0.0,0.0,inf,0.7,0.828,0.7,8.0,2.0
0.662,1.310035487317776,90.0,0.0,0.0,0.0,inf,0.7,0.828,0.7,8.0,2.0
0.663,1.3136139476205018,90.0,0.0,0.0,0.0,inf,0.7,0.828,0.7,8.0,2.0
0.664,1.3172030422933974,90.0,0.0,0.0,0.0,inf,0.7,0.828,0.7,8.0,2.0
0.665,1.3208028347307619,90.0,0.0,0.0,0.0,inf,0.7,0.828,0.7,8.0,2.0
0.666,1.324413388895455,90.0,0.0,0.0,0.0,inf,0.7,0.828,0.7,8.0,2.0
0.667,1.3280347693257166,90.0,0.0,0.0,0.0,inf,0.7,0.828,0.7,8.0,2.0
0.668,1.331667041142088,90.0,0.0,0.0,0.0,inf,0.7,0.828,0.7,8.0,2.0
0.669,1.3353102700544375,90.0,0.0,0.0,0.0,inf,0.7,0.828,0.7,8.0,2.0
0.67,1.3389645223690958,90.0,0.0,0.0,0.0,inf,0.7,0.828,0.7,8.0,2.0
0.671,1.3426298649960935,90.0,0.0,0.0,0.0,inf,0.7,0.828,0.7,8.0,2.0
0.672,1.3463063654565137,90.0,0.0,0.0,0.0,inf,0.7,0.828,0.7,8.0,2.0
0.673,1.3499940918899564,90.0,0.0,0.0,0.0,inf,0.7,0.828,0.7,8.0,2.0
